H;penstroke-edit;2;caveat_edit_subset fixing.cdr;464;564;0
G;0;0000;hash
S;1;0;200.61;195.47
S;1;0;197.69;196.12
S;1;0;194.79;196.87
S;1;0;191.93;197.73
S;1;0;189.09;198.68
S;1;0;186.29;199.73
S;1;0;183.52;200.88
S;1;0;180.81;202.13
S;1;0;178.14;203.49
S;1;0;175.52;204.94
S;1;0;172.97;206.50
S;1;0;170.49;208.17
S;1;0;168.07;209.93
S;1;0;165.70;211.76
S;1;0;163.38;213.65
S;1;0;161.08;215.57
S;1;0;158.80;217.51
S;1;0;156.53;219.46
S;1;0;154.25;221.40
S;1;0;152.00;223.37
S;1;0;149.87;225.47
S;1;0;147.89;227.71
S;1;0;146.09;230.10
S;1;0;144.53;232.65
S;1;0;143.25;235.36
S;1;0;142.32;238.20
S;1;0;141.78;241.14
S;1;0;141.64;244.13
S;1;0;141.90;247.11
S;1;0;142.50;250.04
S;1;0;143.41;252.89
S;1;0;144.55;255.65
S;1;0;145.90;258.33
S;1;0;147.40;260.92
S;1;0;149.02;263.43
S;1;0;150.75;265.87
S;1;0;152.55;268.26
S;1;0;154.42;270.60
S;1;0;156.34;272.89
S;1;0;158.30;275.15
S;1;0;160.29;277.39
S;1;0;162.30;279.61
S;1;0;164.33;281.81
S;1;0;166.37;284.00
S;1;0;168.41;286.19
S;1;0;170.45;288.38
S;1;0;172.48;290.58
S;1;0;174.49;292.79
S;1;0;176.49;295.02
S;1;0;178.46;297.27
S;1;0;180.40;299.55
S;1;0;182.29;301.87
S;1;0;184.14;304.22
S;1;0;185.92;306.62
S;1;0;187.63;309.08
S;1;0;189.26;311.59
S;1;0;190.78;314.17
S;1;0;192.17;316.82
S;1;0;193.41;319.54
S;1;0;194.48;322.34
S;1;0;195.34;325.20
S;1;0;195.97;328.13
S;1;0;196.33;331.10
S;1;0;196.40;334.09
S;1;0;196.17;337.07
S;1;0;195.65;340.01
S;1;0;194.83;342.89
S;1;0;193.75;345.68
S;1;0;192.44;348.37
S;1;0;190.92;350.95
S;1;0;189.22;353.41
S;1;0;187.30;355.70
S;1;0;185.21;357.84
S;1;0;182.97;359.83
S;1;0;180.63;361.69
S;1;0;178.18;363.42
S;1;0;175.66;365.03
S;1;0;173.08;366.54
S;1;0;170.44;367.95
S;1;0;167.75;369.27
S;1;0;165.03;370.51
S;1;0;162.27;371.67
S;1;0;159.48;372.75
S;1;0;156.67;373.77
S;1;0;153.83;374.73
S;1;0;150.97;375.62
S;1;0;148.10;376.45
S;1;0;145.21;377.22
S;1;0;142.30;377.94
S;1;0;139.38;378.60
S;1;0;136.45;379.20
S;1;0;133.51;379.75
S;1;0;130.56;380.24
S;1;0;127.60;380.67
S;1;0;124.63;381.05
S;1;0;121.65;381.37
S;1;0;118.67;381.62
S;1;0;115.68;381.80
S;1;0;112.69;381.90
S;1;0;109.70;381.92
S;1;0;106.71;381.85
S;1;0;103.72;381.66
S;1;0;100.75;381.36
S;1;0;97.78;380.99
S;1;0;94.82;380.52
S;1;0;91.89;379.93
S;1;0;88.99;379.20
S;1;0;86.13;378.29
S;1;0;83.36;377.18
S;1;0;80.70;375.81
S;1;0;78.21;374.15
S;1;0;76.00;372.14
S;1;0;74.16;369.79
S;1;0;72.79;367.13
S;1;0;71.95;364.26
S;1;0;71.62;361.29
S;1;0;71.72;358.30
S;1;1;242.44;134.19
S;1;1;241.73;137.10
S;1;1;240.94;140.00
S;1;1;240.06;142.86
S;1;1;239.10;145.71
S;1;1;238.07;148.52
S;1;1;236.97;151.31
S;1;1;235.80;154.07
S;1;1;234.57;156.81
S;1;1;233.28;159.52
S;1;1;231.94;162.20
S;1;1;230.56;164.86
S;1;1;229.15;167.51
S;1;1;227.69;170.13
S;1;1;226.21;172.74
S;1;1;224.71;175.34
S;1;1;223.19;177.92
S;1;1;221.67;180.50
S;1;1;220.13;183.08
S;1;1;218.60;185.66
S;1;1;217.07;188.24
S;1;1;215.55;190.82
S;1;1;214.04;193.41
S;1;1;212.55;196.02
S;1;1;211.10;198.64
S;1;1;209.67;201.28
S;1;1;208.27;203.93
S;1;1;206.92;206.61
S;1;1;205.60;209.30
S;1;1;204.29;212.00
S;1;1;202.97;214.69
S;1;1;201.65;217.39
S;1;1;200.33;220.08
S;1;1;199.00;222.77
S;1;1;197.67;225.46
S;1;1;196.34;228.15
S;1;1;195.01;230.83
S;1;1;193.68;233.52
S;1;1;192.35;236.21
S;1;1;191.02;238.89
S;1;1;189.68;241.58
S;1;1;188.35;244.27
S;1;1;187.01;246.95
S;1;1;185.68;249.64
S;1;1;184.34;252.32
S;1;1;183.01;255.01
S;1;1;181.67;257.70
S;1;1;180.34;260.38
S;1;1;179.01;263.07
S;1;1;177.68;265.76
S;1;1;176.35;268.45
S;1;1;175.02;271.13
S;1;1;173.69;273.82
S;1;1;172.37;276.52
S;1;1;171.05;279.21
S;1;1;169.73;281.90
S;1;1;168.41;284.59
S;1;1;167.10;287.29
S;1;1;165.78;289.99
S;1;1;164.48;292.69
S;1;1;163.17;295.39
S;1;1;161.87;298.09
S;1;1;160.57;300.79
S;1;1;159.28;303.50
S;1;1;157.99;306.21
S;1;1;156.70;308.92
S;1;1;155.42;311.63
S;1;1;154.15;314.34
S;1;1;152.88;317.06
S;1;1;151.61;319.78
S;1;1;150.35;322.50
S;1;1;149.10;325.23
S;1;1;147.85;327.95
S;1;1;146.61;330.68
S;1;1;145.41;333.43
S;1;1;144.29;336.21
S;1;1;143.23;339.02
S;1;1;142.21;341.84
S;1;1;141.22;344.67
S;1;1;140.24;347.50
S;1;1;139.25;350.33
S;1;1;138.23;353.16
S;1;1;137.17;355.96
S;1;1;136.05;358.74
S;1;1;134.86;361.50
S;1;1;133.62;364.23
S;1;1;132.35;366.94
S;1;1;131.05;369.65
S;1;1;129.73;372.34
S;1;1;128.39;375.03
S;1;1;127.05;377.71
S;1;1;125.70;380.38
S;1;1;124.35;383.06
S;1;1;123.00;385.74
S;1;1;121.66;388.42
S;1;1;120.33;391.11
S;1;1;119.02;393.81
S;1;1;117.73;396.52
S;1;1;116.47;399.24
S;1;1;115.24;401.97
S;1;1;114.04;404.72
S;1;1;112.88;407.49
S;1;1;111.77;410.28
S;1;1;110.71;413.08
S;1;1;109.71;415.91
S;1;1;108.77;418.76
S;1;1;107.91;421.63
S;1;1;107.12;424.52
S;1;1;106.41;427.44
S;1;1;105.79;430.37
S;1;1;105.28;433.32
S;1;1;104.87;436.30
S;1;1;104.57;439.28
S;1;1;104.39;442.27
S;1;1;104.34;445.27
S;1;1;104.42;448.27
G;2;0000;percent
S;2;2;232.26;330.00
S;2;2;235.23;330.45
S;2;2;238.15;331.14
S;2;2;241.00;332.09
S;2;2;243.72;333.36
S;2;2;246.24;334.98
S;2;2;248.47;336.98
S;2;2;250.33;339.34
S;2;2;251.74;341.99
S;2;2;252.70;344.83
S;2;2;253.25;347.78
S;2;2;253.44;350.78
S;2;2;253.33;353.78
S;2;2;252.97;356.76
S;2;2;252.40;359.71
S;2;2;251.66;362.62
S;2;2;250.77;365.49
S;2;2;249.75;368.31
S;2;2;248.62;371.09
S;2;2;247.39;373.83
S;2;2;246.08;376.53
S;2;2;244.68;379.19
S;2;2;243.21;381.81
S;2;2;241.67;384.39
S;2;2;240.06;386.93
S;2;2;238.40;389.43
S;2;2;236.67;391.88
S;2;2;234.89;394.30
S;2;2;233.05;396.67
S;2;2;231.15;399.00
S;2;2;229.20;401.28
S;2;2;227.19;403.51
S;2;2;225.11;405.68
S;2;2;222.98;407.80
S;2;2;220.77;409.83
S;2;2;218.49;411.79
S;2;2;216.13;413.64
S;2;2;213.67;415.37
S;2;2;211.10;416.92
S;2;2;208.40;418.24
S;2;2;205.59;419.27
S;2;2;202.67;419.98
S;2;2;199.69;420.29
S;2;2;196.69;420.10
S;2;2;193.79;419.35
S;2;2;191.09;418.03
S;2;2;188.71;416.22
S;2;2;186.69;414.00
S;2;2;185.03;411.50
S;2;2;183.71;408.80
S;2;2;182.71;405.97
S;2;2;182.00;403.05
S;2;2;181.56;400.08
S;2;2;181.38;397.09
S;2;2;181.44;394.09
S;2;2;181.75;391.10
S;2;2;182.32;388.15
S;2;2;183.13;385.26
S;2;2;184.09;382.41
S;2;2;185.15;379.61
S;2;2;186.31;376.84
S;2;2;187.56;374.10
S;2;2;188.89;371.41
S;2;2;190.30;368.76
S;2;2;191.77;366.14
S;2;2;193.32;363.57
S;2;2;194.94;361.04
S;2;2;196.62;358.55
S;2;2;198.36;356.10
S;2;2;200.17;353.71
S;2;2;202.05;351.36
S;2;2;203.99;349.07
S;2;2;206.00;346.84
S;2;2;208.08;344.67
S;2;2;210.23;342.57
S;2;2;212.45;340.56
S;2;2;214.75;338.63
S;2;2;217.14;336.80
S;2;2;219.61;335.10
S;2;2;222.28;333.73
S;2;2;225.08;332.64
S;2;2;227.91;331.63
S;2;2;230.68;330.49
S;2;2;233.29;329.00
S;2;0;296.24;194.58
S;2;0;294.11;196.69
S;2;0;291.98;198.81
S;2;0;289.86;200.93
S;2;0;287.74;203.06
S;2;0;285.62;205.18
S;2;0;283.51;207.32
S;2;0;281.40;209.45
S;2;0;279.29;211.59
S;2;0;277.19;213.73
S;2;0;275.09;215.87
S;2;0;272.99;218.02
S;2;0;270.90;220.17
S;2;0;268.81;222.32
S;2;0;266.72;224.48
S;2;0;264.63;226.63
S;2;0;262.54;228.79
S;2;0;260.46;230.95
S;2;0;258.38;233.11
S;2;0;256.30;235.27
S;2;0;254.22;237.44
S;2;0;252.14;239.60
S;2;0;250.06;241.77
S;2;0;247.99;243.94
S;2;0;245.91;246.11
S;2;0;243.84;248.27
S;2;0;241.76;250.44
S;2;0;239.69;252.61
S;2;0;237.62;254.78
S;2;0;235.54;256.95
S;2;0;233.47;259.12
S;2;0;231.39;261.29
S;2;0;229.32;263.46
S;2;0;227.25;265.63
S;2;0;225.17;267.80
S;2;0;223.09;269.96
S;2;0;221.02;272.13
S;2;0;218.94;274.29
S;2;0;216.86;276.46
S;2;0;214.78;278.62
S;2;0;212.69;280.78
S;2;0;210.61;282.94
S;2;0;208.52;285.10
S;2;0;206.44;287.26
S;2;0;204.35;289.41
S;2;0;202.27;291.58
S;2;0;200.19;293.74
S;2;0;198.11;295.90
S;2;0;196.03;298.06
S;2;0;193.95;300.23
S;2;0;191.87;302.40
S;2;0;189.80;304.57
S;2;0;187.73;306.74
S;2;0;185.66;308.91
S;2;0;183.59;311.09
S;2;0;181.53;313.27
S;2;0;179.47;315.45
S;2;0;177.41;317.64
S;2;0;175.36;319.82
S;2;0;173.31;322.02
