H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;1;0;156.69;190.17
S;1;0;155.48;192.94
S;1;0;154.30;195.72
S;1;0;153.12;198.50
S;1;0;151.97;201.29
S;1;0;150.82;204.08
S;1;0;149.69;206.88
S;1;0;148.58;209.69
S;1;0;147.47;212.50
S;1;0;146.37;215.31
S;1;0;145.26;218.11
S;1;0;144.14;220.92
S;1;0;143.02;223.72
S;1;0;141.90;226.52
S;1;0;140.77;229.32
S;1;0;139.63;232.12
S;1;0;138.50;234.92
S;1;0;137.37;237.72
S;1;0;136.24;240.52
S;1;0;135.11;243.32
S;1;0;133.98;246.12
S;1;0;132.86;248.92
S;1;0;131.75;251.73
S;1;0;130.64;254.54
S;1;0;129.54;257.35
S;1;0;128.45;260.16
S;1;0;127.37;262.98
S;1;0;126.30;265.80
S;1;0;125.24;268.63
S;1;0;124.20;271.46
S;1;0;123.17;274.30
S;1;0;122.16;277.15
S;1;0;121.16;280.00
S;1;0;120.19;282.85
S;1;0;119.23;285.72
S;1;0;118.30;288.59
S;1;0;117.38;291.47
S;1;0;116.49;294.35
S;1;0;115.63;297.24
S;1;0;114.79;300.14
S;1;0;113.98;303.05
S;1;0;113.20;305.97
S;1;0;112.45;308.89
S;1;0;111.74;311.82
S;1;0;111.05;314.77
S;1;0;110.38;317.71
S;1;0;109.71;320.65
S;1;0;109.05;323.60
S;1;0;108.38;326.54
S;1;0;107.72;329.49
S;1;0;107.05;332.43
S;1;0;106.39;335.38
S;1;0;105.72;338.32
S;1;0;105.06;341.27
S;1;0;104.39;344.21
S;1;0;103.73;347.16
S;1;0;103.07;350.10
S;1;0;102.41;353.05
S;1;0;101.75;355.99
S;1;0;101.09;358.94
S;1;0;100.45;361.89
G;2;0000;c
S;2;0;164.50;311.48
S;2;0;166.95;309.73
S;2;0;169.12;307.64
S;2;0;170.94;305.24
S;2;0;172.38;302.60
S;2;0;173.44;299.78
S;2;0;174.11;296.84
